COUNTRY,TIME,VALUE ,MEASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/18,207,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/18,209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/18,206,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/18,204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/18,206,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/18,202,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/18,195,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1/1/09,667,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2/1/09,683,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,3/1/09,679,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,4/1/09,686,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,5/1/09,672,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,6/1/09,657,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,7/1/09,566,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,8/1/09,670,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,9/1/09,672,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,10/1/09,663,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,11/1/09,652,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,12/1/09,648,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1/1/10,657,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2/1/10,654,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,3/1/10,644,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,4/1/10,650,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,5/1/10,676,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,6/1/10,685,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,7/1/10,676,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,8/1/10,683,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,9/1/10,697,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,10/1/10,685,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,11/1/10,673,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
